(1)Proyecto,(2)Cotizacion,(3)Folio,(6)Estado proyecto,(10)Abono pyme,(11)Monto a transferir,(12)Monto facturas(bruto),(13)Monto simulado proyecto,(14)% Pagado pyme,(15)Ultimo Abono Pyme,(16)Estado/pyme,(17)Excedentes,(18)Comportamiento,(19)Días de mora,(20)Pago operacion,(21)Estado pago operacion,(22)Monto factura correcta,(23)Colocado mes,(24)Cliente nuevo,(25)Rut Cedente,(26)Empresa solicitante,(27)Rut empresa deudora,(28)Empresa deudora,(29)Ejecutivo,(30)Grupo,(31)Anticipo,(32)Monto retenido (garantía),(33)Monto a financiar,(34)Gasto legal Comisión RC,(35)Comisión RC,(36)Gasto operación (sin iva),(37)Gasto operacion dealer,(38)IVA,(39)Dias,(40)Tasa interes mensual,(41)Interes,(43)Monto final adelantado,(44)Monto descuento,(45)Monto anticipo,(46)Monto a giro real,(47)Fecha creacion,(48)Fecha prestamo,(49)Fecha estimada pago,(50)Fecha entrega dinero,(51)Linea cedente,(53)Monto historico,(54)Monto pagado,(55)Monto vigente,(56)Es carga masiva,(57)Masivo ID,(58)Comentarios,(59)Última fecha auditoria,(60)Gasto legal Comision RC (sin iva),(61)Warren 1,(62)Warren 2,(63)Estado Gestión Factura,(64)Código Verificación,(65)Tipo de cotización,(66)Provisión CF,(67)Tasa costo fondo
46,55,8,Al día,0,0,3060000,3060000,0,,No Abonado,Pendiente,Al dia,-32,0,No abonado,Si,2026-07,2026-07,78420573-8,TRANSPORTES GIA SPA,76249099-4,BESALCO ENERGIA RENOVABLE S.A.,Viviana San Martín,-,100,0,3060000,2380,0.60,19584,0,3721,29,2.00,65280,2969035,0,0,2969035,7/30/2026,7/30/2026,8/31/2026,7/30/2026,0,3060000,0,3060000,0,0,Sin comentarios,,2000,-,-,Sin gestión,Mail/Teléfono,Factoring,0.03,1.97
45,50,504,Al día,0,0,6788653,6788653,0,,No Abonado,Pendiente,Al dia,-36,0,No abonado,Si,2026-07,2026-06,76278822-5,CONSTRUCCIONES ACUNA Y COMPANIA LIMITADA,89853600-9,CONSTRUCTORA INGEVEC S.A.,Viviana San Martín,-,100,0,6788653,2380,0.17,14618,0,2777,84,2.00,171979,671662,0,5925236,671662,7/30/2026,7/28/2026,9/4/2026,7/28/2026,0,6788653,0,6788653,0,0,Sin comentarios,,2000,-,-,Sin gestión,Mail/Teléfono,Factoring,0.03,1.97
44,34,2243,Al día,0,0,5612014,5612014,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,56120,5555894,294,0.07,6871,0,1305,53,2.00,196308,420918,0,4930197,420918,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5612014,0,5612014,0,0,Sin comentarios,,247,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
43,34,2244,Al día,0,0,5612014,5612014,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,56120,5555894,298,0.07,6871,0,1305,53,2.00,196308,420920,0,4930191,420920,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5612014,0,5612014,0,0,Sin comentarios,,250,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
42,34,2245,Al día,0,0,5612014,5612014,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,56120,5555894,298,0.07,6871,0,1305,53,2.00,196308,420920,0,4930191,420920,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5612014,0,5612014,0,0,Sin comentarios,,250,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
41,34,2246,Al día,0,0,5612014,5612014,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,56120,5555894,298,0.07,6871,0,1305,53,2.00,196308,420920,0,4930191,420920,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5612014,0,5612014,0,0,Sin comentarios,,250,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
40,34,2247,Al día,0,0,5612014,5612014,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,56120,5555894,298,0.07,6871,0,1305,53,2.00,196308,420920,0,4930191,420920,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5612014,0,5612014,0,0,Sin comentarios,,250,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
39,34,2248,Al día,0,0,5612014,5612014,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,56120,5555894,298,0.07,6871,0,1305,53,2.00,196308,420920,0,4930191,420920,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5612014,0,5612014,0,0,Sin comentarios,,250,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
38,34,2249,Al día,0,0,5929846,5929846,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,59298,5870548,298,0.07,7260,0,1379,53,2.00,207426,444760,0,5209424,444760,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5929846,0,5929846,0,0,Sin comentarios,,250,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
37,34,2250,Al día,0,0,5929846,5929846,0,,No Abonado,Pendiente,Al dia,-43,0,No abonado,Si,2026-07,2026-07,76454923-6,AVATTAR CONSULTORA SPA,96805970-K,EVERTEC CHILE SPA,Viviana San Martín,-,99,59298,5870548,298,0.07,7260,0,1379,53,2.00,207426,444760,0,5209424,444760,7/29/2026,7/20/2026,9/11/2026,7/20/2026,0,5929846,0,5929846,0,0,Sin comentarios,,250,-,-,Sin gestión,Factura con + de 8 dias.,Factoring,0.03,1.97
36,52,1234,Al día,0,0,333200,333200,0,,No Abonado,Pendiente,Al dia,-29,0,No abonado,Si,2026-07,2026-06,77793363-9,RED LAGOS SPA,61975100-0,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Viviana San Martín,-,95,16660,316540,1190,1.50,4906,0,932,31,2.10,6869,302643,0,0,302643,7/28/2026,7/28/2026,8/28/2026,7/28/2026,0,333200,0,333200,0,0,Sin comentarios,,1000,-,-,Sin gestión,Mail/Teléfono,Factoring,0.03,2.07
35,52,1233,Al día,0,0,891310,891310,0,,No Abonado,Pendiente,Al dia,-29,0,No abonado,Si,2026-07,2026-06,77793363-9,RED LAGOS SPA,61975100-0,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Viviana San Martín,-,95,44566,846745,1190,1.50,13125,0,2494,31,2.10,18374,811561,0,0,811561,7/28/2026,7/28/2026,8/28/2026,7/28/2026,0,891310,0,891310,0,0,Sin comentarios,,1000,-,-,Sin gestión,Mail/Teléfono,Factoring,0.03,2.07
34,49,36,Al día,0,0,393294,393294,0,,No Abonado,Pendiente,Al dia,-25,0,No abonado,Si,2026-07,2026-06,78093492-1,VICAT INVERSIÓN & DESARROLLO SPA,93737000-8,GTD MANQUEHUE S.A.,Viviana San Martín,-,100,0,393294,2380,2.35,8318,0,1580,31,2.30,8141,372875,0,0,372875,7/28/2026,7/28/2026,8/24/2026,7/28/2026,0,393294,0,393294,0,0,Sin comentarios,,2000,-,-,Viva Reconocida - ELIMINADO,Verificación Posterior,Factoring,0.03,2.27
33,45,7,Al día,0,0,3060000,3060000,0,,No Abonado,Pendiente,Al dia,-25,0,No abonado,Si,2026-07,2026-07,78420573-8,TRANSPORTES GIA SPA,76249099-4,BESALCO ENERGIA RENOVABLE S.A.,Viviana San Martín,-,100,0,3060000,2380,0.67,21185,0,4025,28,2.00,63240,2969170,0,0,2969170,7/28/2026,7/24/2026,8/24/2026,7/24/2026,0,3060000,0,3060000,0,0,Sin comentarios,,2000,-,-,Factura con fecha de pago,Verificación Posterior,Factoring,0.03,1.97
31,38,2789,Al día,0,0,1613372,1613372,0,,No Abonado,Pendiente,Al dia,-22,0,No abonado,Si,2026-07,2026-07,76895720-7,AGRIC Y COMERCIALIZADORA MEDITERRANEA LTDA,76581775-7,MACASE SPA,Viviana San Martín,-,100,0,1613372,61267,1.50,25814,0,4905,32,2.00,34419,1486968,0,0,1486968,7/22/2026,7/22/2026,8/21/2026,7/20/2026,0,1613372,0,1613372,0,0,Sin comentarios,,51485,-,-,Viva Reconocida - ELIMINADO,Factura con + de 8 dias.,Factoring,0.03,1.97
30,41,503,Al día,0,0,2681546,2681546,0,,No Abonado,Pendiente,Al dia,-32,0,No abonado,Si,2026-07,2026-06,76278822-5,CONSTRUCCIONES ACUNA Y COMPANIA LIMITADA,89853600-9,CONSTRUCTORA INGEVEC S.A.,Viviana San Martín,-,100,0,2681546,2380,0.75,26815,0,5095,40,2.00,71508,2575748,0,0,2575748,7/22/2026,7/22/2026,8/31/2026,7/22/2026,0,2681546,0,2681546,0,0,Sin comentarios,,2000,-,-,Viva Reconocida - ELIMINADO,Factura con + de 8 dias.,Factoring,0.03,1.97
